scout,match,robot,team,start_pos,no_show,auto_type,auto_bump,auto_climb,auto_cycles,teleop_trench,teleop_bump,num_cycles,num_cycles_tenths,endgame_climb,climb_less_than_5,inactive_strat,driver_rating,died,solo_shooting,problems,card,comments
AZ,24,B3,11318,M,FALSE,NA,FALSE,FALSE,5,18,0,8,2,No,FALSE,2,1,FALSE,FALSE,0,No Card,Very small hopper capacity
AW,25,R1,2912,C,FALSE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,0,No Card,"Couldn»t intake, didn»t move a lot, got stuck on the depot"
HR,25,R2,1446,C,FALSE,NA,FALSE,FALSE,0,0,1,0,0,No,FALSE,NA,1,TRUE,FALSE,0,No Card,NA
RX,25,R3,888,F,FALSE,3,FALSE,FALSE,12,2,0,0,3,No,FALSE,"2,6",4,FALSE,TRUE,0,No Card,Outake got jammed very early on
AD,25,B1,5243,F,FALSE,NA,FALSE,TRUE,5,2,2,2,9,L1,FALSE,NA,4,FALSE,FALSE,0,No Card,NA
BS,25,B2,2988,M,FALSE,NA,FALSE,FALSE,0,3,1,0,0,No,FALSE,6,1,FALSE,FALSE,0,No Card,Intake full during inactive but didn»t shoot
AZ,25,B3,116,C,FALSE,NA,FALSE,FALSE,2,0,4,1,3,L1,FALSE,6,2,FALSE,FALSE,0,No Card,A ton of balls stuck between hopper wall and intake
AW,26,R1,4472,F,FALSE,3,FALSE,FALSE,16,4,1,4,5,No,FALSE,"1,5",4,FALSE,FALSE,0,No Card,Not very accurate some of the time
AD,26,R2,2914,M,FALSE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,0,No Card,"Did not die, but did nothing. Broken drive train?"
RX,26,R3,2186,C,FALSE,NA,FALSE,FALSE,3,2,0,1,0,No,FALSE,NA,3,FALSE,FALSE,0,No Card,NA
MNL,26,B1,5841,NA,TRUE,NA,FALSE,FALSE,0,0,0,0,9,No,FALSE,NA,1,FALSE,FALSE,0,No Card,NA
BS,26,B2,11211,C,FALSE,NA,FALSE,FALSE,0,0,2,0,0,No,FALSE,NA,3,FALSE,FALSE,0,No Card,NA
AZ,26,B3,3714,F,FALSE,NA,FALSE,FALSE,0,4,2,0,0,No,FALSE,4,2,FALSE,FALSE,0,No Card,Hopper broke
AW,27,R1,3373,F,FALSE,1,FALSE,FALSE,9,0,4,3,0,No,FALSE,5,3,FALSE,FALSE,0,No Card,NA
KO,27,R2,4638,M,FALSE,NA,FALSE,FALSE,1,0,8,0,2,No,FALSE,4,2,FALSE,FALSE,0,No Card,Played defense all game
RX,27,R3,1731,C,FALSE,3,FALSE,FALSE,4,0,0,4,1,No,FALSE,"1,2,6",4,FALSE,TRUE,0,No Card,Missed a bunch of fuel in auto
AD,27,B1,449,F,FALSE,3,FALSE,FALSE,18,11,1,6,3,No,FALSE,"2,6",5,FALSE,FALSE,0,No Card,NA
BS,27,B2,6882,M,FALSE,NA,FALSE,FALSE,3,3,1,0,0,No,FALSE,4,3,FALSE,FALSE,0,No Card,Barely scored played defense the whole time
AZ,27,B3,2537,C,FALSE,3,FALSE,FALSE,0,10,0,4,2,No,FALSE,NA,5,FALSE,FALSE,0,No Card,NA
AW,28,R1,2421,M,FALSE,NA,FALSE,FALSE,5,5,5,1,0,No,FALSE,NA,3,FALSE,FALSE,0,No Card,"Got stuck on the bump twice, slow shooting, slow/unreliable intake"
AC,28,R2,8590,F,FALSE,NA,FALSE,FALSE,0,2,0,1,0,No,FALSE,6,2,FALSE,FALSE,0,No Card,"Slow intake, didn»t seem to do anything auto"
RX,28,R3,5549,C,FALSE,3,FALSE,FALSE,0,5,1,4,0,No,FALSE,"1,6",4,FALSE,FALSE,0,No Card,Almost got beached in auto
AD,28,B1,4456,M,FALSE,NA,FALSE,FALSE,2,5,0,3,8,No,FALSE,"2,6",3,FALSE,FALSE,0,No Card,NA
BS,28,B2,5587,C,FALSE,1,FALSE,FALSE,6,1,2,3,0,No,FALSE,"1,6",1,FALSE,FALSE,0,No Card,NA
AZ,28,B3,7886,F,FALSE,NA,FALSE,FALSE,0,11,1,0,0,No,FALSE,NA,4,FALSE,FALSE,0,No Card,Just drive and no shooter
AW,29,R1,2186,F,FALSE,NA,FALSE,FALSE,4,0,0,0,5,F,FALSE,NA,2,FALSE,FALSE,0,No Card,"Slowwwww, couldn»t really move much"
AC,29,R2,2912,M,FALSE,NA,FALSE,FALSE,0,1,0,0,0,No,FALSE,NA,1,FALSE,FALSE,0,No Card,They just kinda jittered around NZ for the entirety of tele
KO,29,R3,116,C,FALSE,NA,FALSE,FALSE,2,0,4,0,4,L1,FALSE,2,2,FALSE,FALSE,0,No Card,Mid accuracy because shooter too strong?
AD,29,B1,1727,F,FALSE,NA,FALSE,FALSE,0,6,2,4,3,No,FALSE,"6,2",4,FALSE,FALSE,0,No Card,NA
BS,29,B2,6239,M,FALSE,NA,FALSE,FALSE,2,6,0,2,0,No,FALSE,6,3,FALSE,FALSE,0,No Card,NA
AZ,29,B3,4472,C,FALSE,3,FALSE,FALSE,1,6,0,2,8,No,FALSE,1,4,FALSE,FALSE,0,No Card,NA
BP,3,R1,3714,M,FALSE,NA,FALSE,FALSE,0,2,2,0,0,No,FALSE,3,2,FALSE,FALSE,0,No Card,"Evidently tank, couldn»t shoot, got beached a couple of times"
HR,3,R2,4472,F,FALSE,3,FALSE,FALSE,10,6,0,4,2,No,FALSE,"1,6",4,FALSE,FALSE,0,No Card,Some inaccuracy
AC,3,R3,5549,C,FALSE,3,FALSE,FALSE,10,8,0,6,0,No,FALSE,"2,6",4,FALSE,FALSE,0,No Card,Poomfs kinda slow
AD,3,B1,2900,M,FALSE,NA,FALSE,FALSE,2,10,0,0,0,No,FALSE,1,3,FALSE,FALSE,0,No Card,"Shooter jammed, made 0 balls in tele op, gave up on shooting and started passing"
BS,3,B2,2537,C,FALSE,3,FALSE,FALSE,0,6,0,2,3,No,FALSE,1,4,FALSE,FALSE,0,No Card,Got caught under the trench during auto and had some trouble shooting in tele
AZ,3,B3,5243,F,FALSE,NA,FALSE,TRUE,2,10,0,2,4,L1,FALSE,2,2,FALSE,FALSE,0,No Card,NA
AW,30,R1,2537,F,FALSE,31,FALSE,FALSE,16,8,0,4,5,No,FALSE,"1,6",4,FALSE,FALSE,0,No Card,"Kind of slow shooter, sometimes pretty inaccurate"
AC,30,R2,11211,C,FALSE,NA,FALSE,FALSE,0,0,1,0,0,No,FALSE,NA,1,FALSE,FALSE,0,No Card,"Stuck on balls half the match, played unsuccessful defense the rest"
KO,30,R3,1446,M,FALSE,NA,FALSE,FALSE,0,5,4,0,0,No,FALSE,NA,2,FALSE,FALSE,0,No Card,Beached
AD,30,B1,5338,F,FALSE,3,FALSE,FALSE,0,4,0,0,0,No,FALSE,NA,2,TRUE,FALSE,0,No Card,"Died at the very beginning of tele op, came back during endgame"
BS,30,B2,888,C,FALSE,3,FALSE,FALSE,10,6,1,4,3,No,FALSE,NA,5,FALSE,FALSE,0,No Card,NA
AY,30,B3,5841,M,FALSE,NA,FALSE,FALSE,0,0,1,0,0,No,FALSE,2,2,FALSE,FALSE,0,No Card,Drivetrain
AW,31,R1,11318,C,FALSE,NA,FALSE,FALSE,5,12,0,4,0,No,FALSE,"5,6",4,FALSE,FALSE,0,No Card,Was susceptible to the defense being played by 5353
AC,31,R2,3373,F,FALSE,1,FALSE,FALSE,0,0,3,2,8,No,FALSE,6,2,FALSE,FALSE,0,No Card,NA
KO,31,R3,2988,M,FALSE,NA,FALSE,FALSE,2,1,0,0,0,No,FALSE,NA,1,TRUE,FALSE,0,No Card,NA
AD,31,B1,5353,F,FALSE,3,FALSE,FALSE,15,5,3,3,9,No,FALSE,"2,6",4,FALSE,FALSE,0,No Card,Should have climbed l1 with a few extra seconds
BS,31,B2,1731,C,FALSE,3,FALSE,FALSE,4,5,0,5,0,No,FALSE,1,5,FALSE,FALSE,0,No Card,NA
AY,31,B3,5243,M,FALSE,NA,FALSE,TRUE,5,5,1,2,0,F,FALSE,"2,6",2,FALSE,FALSE,0,No Card,NA
AW,32,R1,8590,F,FALSE,NA,FALSE,FALSE,0,6,0,2,5,No,FALSE,5,3,FALSE,FALSE,0,No Card,"Wobbly intake, really bad piece security"
FL,32,R2,1389,M,FALSE,NA,FALSE,FALSE,0,0,4,1,4,No,FALSE,6,3,FALSE,TRUE,0,No Card,NA
KO,32,R3,449,C,FALSE,3,FALSE,FALSE,6,8,0,3,6,No,FALSE,1,5,FALSE,FALSE,0,No Card,NA
MH,32,B1,4821,F,FALSE,NA,FALSE,FALSE,0,2,2,1,2,No,FALSE,NA,3,FALSE,FALSE,0,No Card,NA
BS,32,B2,3714,F,FALSE,NA,FALSE,FALSE,0,2,0,0,0,No,FALSE,NA,3,TRUE,FALSE,0,No Card,NA
AZ,32,B3,4638,M,FALSE,NA,FALSE,FALSE,1,4,0,0,7,No,FALSE,NA,2,FALSE,FALSE,0,No Card,Had trouble moving around and shooting
SBS,33,R1,2421,M,FALSE,NA,FALSE,FALSE,3,0,8,0,4,No,FALSE,3,3,FALSE,FALSE,0,No Card,Bot was js cooked
FL,33,R2,4464,F,FALSE,NA,FALSE,FALSE,0,3,1,0,0,No,FALSE,"2,4",2,FALSE,FALSE,0,No Card,NA
HR,33,R3,2900,C,FALSE,NA,FALSE,FALSE,0,10,0,2,3,No,FALSE,"2,6,4",3,FALSE,TRUE,0,No Card,Bad indexer
AD,33,B1,4456,C,FALSE,NA,FALSE,FALSE,0,2,0,2,6,No,FALSE,"2,6",3,FALSE,TRUE,0,No Card,NA
BS,33,B2,6882,M,FALSE,NA,FALSE,FALSE,4,2,2,1,0,No,FALSE,1,3,FALSE,FALSE,0,No Card,Small hopper
AZ,33,B3,2914,F,FALSE,NA,FALSE,FALSE,0,0,0,0,0,No,FALSE,NA,1,FALSE,FALSE,0,No Card,"Rookie team, no shooting or intaking action going on"
SBS,34,R1,116,F,FALSE,NA,FALSE,FALSE,4,0,8,0,0,L1,FALSE,3,1,FALSE,FALSE,0,No Card,Intake was broken or smth; bad game sense
FL,34,R2,5353,C,FALSE,3,FALSE,FALSE,8,4,2,1,7,No,FALSE,4,3,FALSE,FALSE,0,No Card,NA
HR,34,R3,5587,M,FALSE,NA,FALSE,FALSE,0,0,2,1,0,No,FALSE,"2,6",3,FALSE,FALSE,0,No Card,Difficulty going over bump
AD,34,B1,1731,C,FALSE,3,FALSE,FALSE,17,5,0,4,5,No,FALSE,"2,6",4,FALSE,FALSE,0,No Card,NA
Cc,34,B2,2988,M,FALSE,NA,FALSE,FALSE,0,3,1,3,0,No,FALSE,6,1,FALSE,FALSE,0,No Card,Bad driver
AZ,34,B3,888,F,FALSE,3,FALSE,FALSE,16,7,3,4,2,No,FALSE,2,5,FALSE,FALSE,0,No Card,NA
SBS,35,R1,5338,F,FALSE,3,FALSE,TRUE,8,6,0,5,0,No,FALSE,"5,6",4,FALSE,FALSE,0,No Card,NA
