"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"449","The Blair Robot Project","107","191.9","1730","1894","42.4","105.2","44.2","0.65","0.49","-0.34","2026gal","Galileo Division","8","49-15-0","0.766"
"8749","Farmersville  Robotics","108","191.5","1730","1893","42.1","99.9","49.5","0.38","0.29","-0.34","2026hop","Hopper Division","8","37-26-0","0.587"
"2200","BCR Blackout","109","191.4","1730","1893","55.3","102.8","33.3","0.49","0.18","-0.34","2026mil","Milstein Division","8","44-23-0","0.657"
"3128","The Aluminum Narwhals","110","191.1","1729","1892","37.6","103.3","50.2","0.42","0.15","-0.34","2026cur","Curie Division","8","49-15-0","0.766"
"841","The BioMechs","111","190.5","1728","1891","23.2","105.6","61.8","0.63","0.34","-0.34","N/A","N/A","N/A","28-19-0","0.596"
"1002","CircuitRunners Robotics","112","190.4","1728","1890","49.6","105.1","35.7","0.43","0.14","-0.34","2026joh","Johnson Division","8","50-18-1","0.732"
"5026","Iron Panthers","113","190.3","1728","1890","44.8","104.8","40.7","0.43","0.49","-0.34","2026joh","Johnson Division","8","38-25-0","0.603"
"484","Roboforce","114","190","1727","1889","38.3","103.2","48.6","0.7","0.33","-0.34","2026gal","Galileo Division","8","44-18-0","0.710"
"2630","Thunderbolts","115","189.7","1727","1888","48","111.3","30.4","0.42","0.27","-0.25","2026mil","Milstein Division","8","7-5-0","0.583"
"238","Crusaders","116","189.7","1727","1888","28.5","107.3","53.9","0.45","0.39","-0.34","2026hop","Hopper Division","8","49-15-0","0.766"
"10254","Regal Seagulls","117","189.3","1726","1887","30.2","114.3","44.8","0.54","0.22","-0.34","2026cur","Curie Division","8","39-21-0","0.650"
"5468","Chaos Theory","118","188.4","1725","1885","31.6","104","52.9","0.53","0.23","-0.34","2026arc","Archimedes Division","8","50-12-0","0.806"
"4174","Mustang Robotics","119","187.3","1723","1882","34.5","99.5","53.3","0.64","-0.17","-0.34","2026hop","Hopper Division","8","31-10-0","0.756"
"8608","Alpha Bots","120","187.2","1723","1882","32.9","107.8","46.5","0.63","0.41","-0.34","2026arc","Archimedes Division","8","48-15-0","0.762"
"1771","North Gwinnett Robotics","121","186.9","1722","1881","49.7","106.4","30.7","0.69","0.19","-0.34","2026mil","Milstein Division","8","51-13-0","0.797"
"2767","Stryke Force","122","186.2","1721","1879","49.8","99.1","37.3","0.6","0.47","-0.34","2026arc","Archimedes Division","8","55-12-0","0.821"
"9072","TigerBots","123","186","1721","1878","32.7","103.3","50","0.51","0.18","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","52-18-0","0.743"
"7220","Steel Falcons","124","185.9","1721","1878","43.6","104.6","37.8","0.41","0.31","-0.34","2026cmptx","FIRST Championship - FIRST Robotics Competition","8","44-22-0","0.667"
"360","The Revolution","125","185.8","1721","1878","27.3","112.4","46.1","0.57","0.31","-0.28","2026joh","Johnson Division","8","40-20-0","0.667"
"33","Killer Bees","126","185.7","1720","1878","29","97.8","59","0.54","0.24","-0.34","2026joh","Johnson Division","8","44-18-0","0.710"
"133","B.E.R.T.","127","185.5","1720","1877","41","110.8","33.6","0.63","0.37","-0.34","N/A","N/A","N/A","34-17-0","0.667"
"1701","Robocubs","128","185.3","1720","1877","39.3","106.7","39.4","0.58","0.25","-0.34","2026hop","Hopper Division","8","52-19-0","0.732"
"9408","Warren Warbots","129","185","1719","1876","42","97.4","45.6","0.61","0.23","-0.34","2026new","Newton Division","8","50-10-0","0.833"
"2052","KnightKrawler","130","184.7","1719","1875","38.3","94.5","52","0.72","0.06","-0.34","2026new","Newton Division","8","36-9-0","0.800"
"8159","Golden Horn","131","184.5","1718","1874","44.2","96.4","43.8","0.51","0.09","-0.34","2026gal","Galileo Division","8","28-12-0","0.700"
"2905","Sultans of Turkiye","132","184.3","1718","1874","37.2","107.9","39.2","0.58","0","-0.34","2026mil","Milstein Division","8","32-11-0","0.744"
"7166","Red Thunder Robotics","133","183.7","1717","1872","44.5","89.8","49.4","0.63","0.28","-0.34","2026arc","Archimedes Division","8","55-15-0","0.786"
"9032","RoboWhales","134","183.6","1717","1872","32.6","108.3","42.7","0.59","0.27","-0.34","2026arc","Archimedes Division","8","53-11-0","0.828"
"3937","Breakaway","135","183.4","1717","1871","35.5","96.3","51.5","0.58","-0.03","-0.34","2026gal","Galileo Division","8","26-18-0","0.591"
"3197","HexHounds","136","183.1","1716","1871","31.6","105.9","45.6","0.44","0.08","-0.34","2026cur","Curie Division","8","44-21-1","0.674"
"3414","Hackbots","137","183","1716","1870","41.8","100.3","40.9","0.58","0.35","-0.34","2026joh","Johnson Division","8","45-18-0","0.714"
"148","Robowranglers","138","182.9","1716","1870","31","99.8","52.1","0.54","0.14","-0.34","2026new","Newton Division","8","52-14-0","0.788"
"118","Robonauts","139","182.4","1715","1869","28.2","101.3","52.8","0.67","0.25","0.33","2026joh","Johnson Division","8","118-14-0","0.894"
"9068","The Chargers","140","182.3","1715","1869","30.2","102.3","49.9","0.55","0.31","-0.34","2026cur","Curie Division","8","32-14-0","0.696"
"1922","Oz-Ram","141","182","1714","1868","24.7","102.1","55.2","0.56","0.2","-0.34","2026new","Newton Division","8","35-26-0","0.574"
"2992","The S.S. Prometheus","142","181.3","1713","1866","36.6","98.7","46","0.47","0.09","-0.34","2026cur","Curie Division","8","30-17-0","0.638"
"5660","Symmetrical Chaos","143","181.3","1713","1866","33.7","99.6","48.1","0.7","0.19","-0.34","N/A","N/A","N/A","33-18-0","0.647"
"4391","BraveBots","144","180.6","1712","1864","31.6","94.9","54.2","0.58","0.25","-0.34","2026joh","Johnson Division","8","49-15-0","0.766"
"3641","The Flying Toasters","145","179.6","1711","1861","39.3","89.3","51","0.42","0.17","-0.28","2026hop","Hopper Division","8","41-24-0","0.631"
"2877","LigerBots","146","179.5","1710","1861","37.3","101.9","40.4","0.36","0.17","-0.34","2026joh","Johnson Division","8","41-20-0","0.672"
"4635","PrepaTec - Botbusters","147","178.7","1709","1859","42.7","97.1","39","0.55","0.16","-0.34","2026joh","Johnson Division","8","48-6-0","0.889"
"5913","Patriotics","148","178.7","1709","1859","36.3","109.4","33","0.47","0.04","-0.34","2026gal","Galileo Division","8","34-13-0","0.723"
"7520","Team MineKee","149","178.3","1709","1858","25.5","104.9","48","0.39","0.2","-0.34","2026dal","Daly Division","8","35-25-0","0.583"
"10340","ITKAN Girls","150","177.9","1708","1857","41.7","101.7","34.6","0.45","0.34","-0.34","2026joh","Johnson Division","8","52-15-0","0.776"
"3683","Team DAVE","151","177.7","1707","1856","30.2","107.6","39.9","0.68","0.26","-0.34","N/A","N/A","N/A","43-19-0","0.694"
"503","Frog Force","152","177.1","1707","1855","30.7","101.1","45.3","0.58","0.2","-0.28","2026hop","Hopper Division","8","51-28-0","0.646"
"346","RoboHawks","153","176.8","1706","1854","30","105.8","41","0.5","0.18","-0.34","2026new","Newton Division","8","41-20-0","0.672"
"2491","NoMythic","154","176.7","1706","1854","31.7","89.9","55.2","0.48","0.04","-0.34","2026gal","Galileo Division","8","34-11-0","0.756"
